nome_modelo,mse,rmse,tempo_consumo (ns),desvio_tempo,memoria_consumo (mb),memoria_max (mb),desvio_memoria
ViTime_30_seg_full,28.44,5.33,272356758.9,46835417.474,7.2577,7.2778,0.0037
ViTime_1_min_full,30.9,5.56,280750297.367,49495073.884,7.2577,7.2778,0.0037
ViTime_5_min_full,22.99,4.8,292450118.867,66304137.181,7.2577,7.2778,0.0037
ViTime_10_min_full,54.06,7.35,301553070.667,63580653.109,7.2577,7.2778,0.0037
