Real,Previsto
81,81.06722324483428
81,80.58716224360056
81,80.21305532680093
81,79.79575306260593
80,79.58367315981769
80,79.16004149225377
80,78.70025133821694
80,78.27256713442384
80,77.88943898629971
80,77.52572525743308
80,77.01433207264368
80,76.3884119376642
81,75.79785083009841
80,75.25385982392615
80,74.46432149588475
79,73.49370752562258
79,72.34391834801283
78,71.26732957796668
79,70.39119246093847
78,69.61428960234215
79,69.03401080054662
78,68.51760137209547
78,68.11720380080483
78,67.87695113556583
79,67.80687104679934
78,67.8464995311787
78,68.00825096098447
78,68.55656638484784
78,69.35040133665191
78,69.71132508483258
78,69.82145707839612
78,69.45283543280377
77,68.94832808369503
77,68.4069371174642
79,67.92424814225683
79,67.56183471690437
79,67.26731133084317
79,67.01229502586915
79,66.69249227467401
78,66.28657445959503
79,65.89905035410281
79,65.53447838929046
79,65.35343495093248
78,65.28889256555843
78,65.10851373300119
78,64.83385055652445
78,64.54877054125629
78,64.30053677542105
77,64.22453774076457
77,64.17921678497763
77,64.09724859389225
77,64.05958299065827
78,64.1290515062541
78,64.22393456047965
78,64.32073642319308
77,64.4258312242386
77,64.54992216793546
74,64.65644767578958
69,64.74457189510765
66,64.62795235432525
64,64.38309497703267
63,64.09681174352308
62,63.89085645902636
61,63.99620544175175
60,64.2071161915406
59,64.43013770864128
58,64.70183420016231
57,65.05090255692927
57,65.36592819498972
56,65.60812590148822
55,65.91841384895912
55,66.35670778113992
55,66.97998515785737
54,67.73019723880807
54,68.11836128515783
53,68.3382031261448
53,68.58143477878885
53,68.94859861082007
52,69.71884880651483
52,70.62213548781241
52,71.38983612764069
52,72.10841410131272
51,72.74250765939783
51,73.30896120345832
51,73.77294962170757
51,74.08944754405184
50,74.32500831930582
50,74.53625527155125
50,74.7399513886903
50,74.49983675239625
49,73.96484141193794
49,73.8368741625973
49,73.96874579838936
49,74.20651819243459
49,74.527352121057
48,74.79918151105471
49,74.9329220450182
50,74.73702135088983
51,74.20092373365354
54,73.34800809021198
56,72.60497965895296
58,72.06833480288388
59,72.07167298978611
59,72.38737899199077
58,72.46750440425895
57,72.45993069887253
56,72.67219254314458
55,72.99162057667702
55,73.16668515808475
54,73.256904076224
53,73.1513943610639
52,72.92633749578704
52,72.60242563310759
52,72.4477580323606
51,72.61047422371337
50,72.81540864509229
50,73.02771215357049
51,73.59531743772754
54,74.31242165936152
57,74.61050426944495
