Real,Previsto
55,57.037458247000636
54,57.84697322710486
54,57.304780186597014
53,57.24431945342999
52,57.32168630446661
52,57.323870692559495
51,57.334654009159514
51,57.39040516269342
50,57.48243740975916
50,57.60176757975977
50,57.66427890169306
49,57.677108575945674
49,57.55293016090788
49,57.370659635234844
48,57.19717917996414
48,57.068022922005
48,57.112995494463014
48,57.235470770531585
47,57.36416306581042
47,57.519974319191036
47,57.63970016656341
47,57.74264535185029
47,57.79333838405373
46,57.876995749872556
46,58.008339345242234
46,58.123747320346176
46,58.23605857124715
46,58.307275893193776
46,58.38072670907565
46,58.41203445784065
46,58.458702442886405
45,58.500424623976734
45,58.56869237308875
45,58.62951776535105
45,58.714526719781695
45,58.80346394577156
45,58.87904656643886
45,58.90938352682219
45,58.94866139413971
45,59.00728409117635
45,59.03499452098982
45,59.047418026132995
45,59.06655118741812
45,59.11637906665983
45,59.130108532037546
45,59.16336882997705
45,59.20410960632898
45,59.281069386251566
45,59.328457823732144
45,59.39403028816074
45,59.43907130021755
45,59.4712819911895
45,59.45793481553637
45,59.45093967493949
45,59.46742530437667
45,59.47347231352314
45,59.48172631428559
45,59.482896469420126
47,59.50761739489285
48,59.49175703266854
50,59.48831125642354
52,59.455606444959706
53,59.44894969850845
55,59.42722728555397
56,59.423200517466455
57,59.40569476236986
58,59.38045304792724
60,59.317358455402996
60,59.27642072753418
61,59.2795438057004
62,59.28712099443464
63,59.301539745614654
64,59.28042509386278
65,59.2537274490529
66,59.18894690905495
67,59.120017367478106
69,59.040996471446135
69,58.98761043330774
69,58.96065877925597
70,58.968013534843465
71,58.9986406499292
71,59.03038231631347
71,59.03340624518493
72,59.03591231660142
72,59.04746655041976
72,59.052052502014945
72,59.05717232164668
72,59.04108930077449
72,59.02686855147198
72,58.99245653014975
72,58.960352643643176
72,58.890048826852066
72,58.820766245423385
71,58.7602343844465
71,58.72598838537828
71,58.72935366364725
72,58.73900781291373
71,58.71816369726428
71,58.68663545584927
71,58.653180212166255
71,58.62894419130951
70,58.621947519678514
71,58.59692322988343
70,58.57001741784161
70,58.509265236307684
70,58.43430222752182
70,58.3211197529308
70,58.210175323837696
70,58.06812540864198
70,57.93023041739741
70,57.78889696089248
70,57.66610668938964
70,57.544281681490304
70,57.46990422797809
70,57.464097591188214
70,57.46883306191381
70,57.48223458927815
70,57.532851336816506
70,57.646330897303145
70,57.72463055164627
