nome_modelo,mse,rmse,tempo_consumo (ns),desvio_tempo,memoria_consumo (mb),memoria_max (mb),desvio_memoria
ViTime_30_seg_full,28.443331685660294,5.333229011177026,273029339.76666665,69480992.15744059,7.257715288798014,7.27781867980957,0.0037331908887467
ViTime_1_min_full,30.90407871389527,5.559143703295973,272701285.53333336,50772709.51037847,7.257715288798014,7.27781867980957,0.0037331908887467
ViTime_5_min_full,22.992604639709487,4.795060441715985,276861297.3666667,51996350.0323734,7.257715288798014,7.27781867980957,0.0037331908887467
ViTime_10_min_full,54.05702911946831,7.352348544476677,278117617.8666667,43135502.7886734,7.257715288798014,7.27781867980957,0.0037331908887467307
