nome_modelo,mse,rmse,tempo_consumo (ns),desvio_tempo,memoria_consumo (mb),memoria_max (mb),desvio_memoria
ViTime_30_seg_moving,19.905427994267697,4.461549954249946,274561871.0,42890469.158862025,7.257715288798014,7.27781867980957,0.0037331908887467
ViTime_1_min_moving,62.0631394821644,7.878016214895998,282954785.3333333,61807387.14933505,7.257715288798014,7.27781867980957,0.0037331908887467
ViTime_5_min_moving,683.3572112728205,26.14110195215229,280974994.26666665,49057045.46418966,7.257715288798014,7.27781867980957,0.0037331908887467
ViTime_10_min_moving,42.05016395742154,6.484609776803959,285075461.06666666,43044064.64815681,7.257715288798014,7.27781867980957,0.0037331908887467307
