nome_modelo,Real,Previsto
ViTime_moving_5_min,64,78.94013075568482
,63,78.83367608560988
,62,78.67855672195032
,61,78.61441957000682
,60,78.67327210616558
,59,78.69119430406562
,58,78.46849814094605
,57,78.29944773787645
,57,78.20783632502054
,56,78.22805561815458
,55,78.32930733458254
,55,78.51080765034715
,55,78.75868021664618
,54,79.04309563771062
,54,79.43018658990879
,53,79.83017423929171
,53,80.295500798698
,53,80.6837380060328
,52,81.02591764806893
,52,81.35368678839265
,52,81.58272442068275
,52,81.82991468003578
,51,81.91834518168703
,51,81.98541279135462
,51,81.90580312124841
,51,81.71475552179466
,50,81.49747365409405
,50,81.22751902478427
,50,80.98113141264577
,50,80.6194494955646
,49,80.27540929141004
,49,79.9458581064206
,49,79.64814043344276
,49,79.4219353051774
,49,79.28930468057916
,48,79.31831464419041
,49,79.32110899835158
,50,79.39478403979835
,51,79.41420332705395
,54,79.3841265676692
,56,79.39662096943435
,58,79.36659915980738
,59,79.45717288142318
,59,79.46313055449399
,58,79.50932965055367
,57,79.47050082905136
,56,79.34159265932533
,55,79.24330021111935
,55,79.05797470247633
,54,78.98369013535168
,53,78.80623668535009
,52,78.66292653097459
,52,78.61765352223016
,52,78.67814587956586
,51,78.79055898022685
,50,78.75325380098317
,50,78.6956636091736
,51,78.45927891119804
,54,78.15113503250764
,57,77.88039653937139
