nome_modelo,mse_mean,mse_std,mse_conf_95_inf,mse_conf_95_sup,rmse_mean,rmse_std,rmse_conf_95_inf,rmse_conf_95_sup,tempo_seg_mean,tempo_seg_std,tempo_conf_95_inf,tempo_conf_95_sup,memoria_mb_mean,memoria_mb_std,memoria_conf_95_inf,memoria_conf_95_sup
ViTime_fixed_1min,62.063139222360796054545062361285,0.000000000000028907585812908553,62.063139222360781843690347159281,62.063139222360810265399777563289,7.878016198406851522406668664189,0.000000000000006323534396573746,7.878016198406848857871409563813,7.878016198406854186941927764565,0.281935080433333373761684015335,0.044336823344377759847922959580,0.265379438512182930232086164324,0.298490722354483817291281866346,7.257667986551920691340455960017,0.003803041662336291341833804935,7.256247907456857326735644164728,7.259088065646984055945267755305
ViTime_moving_1min,62.063140001771579079559160163626,0.000002378205034844218889291192,62.063139113735225294021802255884,62.063140889807932865096518071368,7.878016247874303878973023529397,0.000000150939329205270812947920,7.878016191512632104831936885603,7.878016304235975653114110173192,0.284283309166666664502542971604,0.050248338195467985578535063951,0.265520271322582490647334907408,0.303046347010750838357751035801,7.257667986551920691340455960017,0.003803041662336291341833804935,7.256247907456857326735644164728,7.259088065646984055945267755305
ViTime_full_3min,42.242210066042702010236098431051,0.000000000000014453792906454277,42.242210066042694904808740830049,42.242210066042709115663456032053,6.499400746687551411184813332511,0.000000000000002710086169960177,6.499400746687550523006393632386,6.499400746687552299363233032636,0.283953642433333319772259528690,0.044665192948257798066791224301,0.267275385286969258125111537083,0.300631899579697381419407520298,7.257667986551920691340455960017,0.003803041662336291341833804935,7.256247907456857326735644164728,7.259088065646984055945267755305
ViTime_fixed_3min,37.355111786747791313700872706249,0.000000000000000000000000000000,37.355111786747791313700872706249,37.355111786747791313700872706249,6.111882834834763578157890151488,0.000000000000002710086169960177,6.111882834834762689979470451362,6.111882834834764466336309851613,0.286671208733333349183425298179,0.054538458320351493324729119649,0.266306213707188266237579910012,0.307036203759478432129270686346,7.257667986551920691340455960017,0.003803041662336291341833804935,7.256247907456857326735644164728,7.259088065646984055945267755305
ViTime_moving_3min,37.355111786747791313700872706249,0.000000000000000000000000000000,37.355111786747791313700872706249,37.355111786747791313700872706249,6.111882834834763578157890151488,0.000000000000002710086169960177,6.111882834834762689979470451362,6.111882834834764466336309851613,0.285955914233333330365383062599,0.046734344130982582998790064721,0.268505023337459569621188393285,0.303406805129207091109577731913,7.257667986551920691340455960017,0.003803041662336291341833804935,7.256247907456857326735644164728,7.259088065646984055945267755305
ViTime_full_5min,22.992604639709483649312460329384,0.000000000000007226896453227138,22.992604639709480096598781528883,22.992604639709487202026139129885,4.795060441715983223787134193117,0.000000000000001806724113306785,4.795060441715982335608714492992,4.795060441715984111965553893242,0.290817459599999994512842249605,0.070750324771277420254911305619,0.264398854152776419113024530816,0.317236065047223569912659968395,7.257667986551920691340455960017,0.003803041662336291341833804935,7.256247907456857326735644164728,7.259088065646984055945267755305
ViTime_fixed_5min,48.255494331971675592285464517772,0.000000465670657196416684589382,48.255494158087394396261515794322,48.255494505855956788309413241223,6.946617474136002279294643813046,0.000000033517799170594177505783,6.946617461620250288945044303546,6.946617486651754269644243322546,0.285713274699999963956997817149,0.046480258753974823537902238968,0.268357260843161360419628636009,0.303069288556838567494366998289,7.257667986551920691340455960017,0.003803041662336291341833804935,7.256247907456857326735644164728,7.259088065646984055945267755305
ViTime_moving_5min,683.357211272820563863206189125776,0.000000000000115630343251634212,683.357211272820563863206189125776,683.357211272820563863206189125776,26.141101952152293819153783260845,0.000000000000003613448226613569,26.141101952152293819153783260845,26.141101952152293819153783260845,0.289493920466666665447519335430,0.046426499681440060174342221444,0.272157980577418967538250171856,0.306829860355914363356788499004,7.257667986551920691340455960017,0.003803041662336291341833804935,7.256247907456857326735644164728,7.259088065646984055945267755305
ViTime_full_10min,54.057029119468296585182542912662,0.000000000000021680689359681415,54.057029119468289479755185311660,54.057029119468303690609900513664,7.352348544476677183467927534366,0.000000000000001806724113306785,7.352348544476676295289507834241,7.352348544476678071646347234491,0.288554156233333414238728664714,0.047205805670507361426757597656,0.270927218705355632444309321727,0.306181093761311196033148007700,7.257667986551920691340455960017,0.003803041662336291341833804935,7.256247907456857326735644164728,7.259088065646984055945267755305
ViTime_fixed_10min,431.379269424963183610088890418410,0.000000280402909876887166488053,431.379269320259027153952047228813,431.379269529667340066225733608007,20.769671866087897171837539644912,0.000000006750296036438200281420,20.769671863567296554720087442547,20.769671868608497788954991847277,0.287188725300000002871314563890,0.049268792843632121247754440674,0.268791455701524240051725200829,0.305585994898475765690903926952,7.257667986551920691340455960017,0.003803041662336291341833804935,7.256247907456857326735644164728,7.259088065646984055945267755305
ViTime_moving_10min,42.050163932381011022698658052832,0.000000137152554817837158314070,42.050163881167406998429214581847,42.050163983594615046968101523817,6.484609774873194787403463124065,0.000000010575235922422994816258,6.484609770924336658026732038707,6.484609778822052916780194209423,0.287707459833333289989099057493,0.047280912290729566749281076454,0.270052477032453386307508935715,0.305362442634213193670689179271,7.257667986551920691340455960017,0.003803041662336291341833804935,7.256247907456857326735644164728,7.259088065646984055945267755305
ViTime_full_30min,30.782580244065215424598136451095,0.000000000000014453792906454277,30.782580244065208319170778850093,30.782580244065222530025494052097,5.548205137165099998242112633307,0.000000000000000903362056653392,5.548205137165099998242112633307,5.548205137165099998242112633307,0.292057203466666692737163657512,0.060544754748319218329299928882,0.269449420495130209651790664793,0.314664986438203175822536650230,7.257667986551920691340455960017,0.003803041662336291341833804935,7.256247907456857326735644164728,7.259088065646984055945267755305
ViTime_fixed_30min,362.375970738029138829006114974618,0.000000418739831799544123033113,362.375970581669093917298596352339,362.375970894389183740713633596897,19.036175318010414514446893008426,0.000000010998528814766186502960,19.036175313903495265321907936595,19.036175322117333763571878080256,0.289728936799999947648842635317,0.048080385634957277518619633838,0.271775425746210885780129729028,0.307682447853789009517555541606,7.257667986551920691340455960017,0.003803041662336291341833804935,7.256247907456857326735644164728,7.259088065646984055945267755305
