nome_modelo,Real,Previsto
ViTime_5_min_full,64,59.813641357578156
,63,59.44682323097814
,62,59.08000510437812
,61,58.7131869777781
,60,58.34636885117808
,59,57.97955072457806
,58,57.61273259797804
,57,57.24591447137802
,57,56.879096344778
,56,56.51227821817798
,55,56.14546009157796
,55,55.77864196497794
,55,55.41182383837793
,54,55.045005711777904
,54,54.688680399089606
,53,54.334415239548704
,53,53.980150080007796
,53,53.625884920466895
,52,53.271619760925994
,52,52.917354601385085
,52,52.563089441844184
,52,52.208824282303276
,51,51.854559122762375
,51,51.50029396322147
,51,51.146028803680565
,51,50.791763644139664
,50,50.437498484598756
,50,50.230857787787194
,50,50.09634829843759
,50,49.961838809087986
,49,49.827329319738375
,49,49.69281983038877
,49,49.55831034103916
,49,49.423800851689556
,49,49.28929136233995
,48,49.15478187299034
,49,49.02027238364074
,50,48.88576289429113
,51,48.75125340494152
,54,48.61674391559192
,56,48.447563081120066
,58,48.24475579137898
,59,48.04194850163788
,59,47.839141211896795
,58,47.6363339221557
,57,47.433526632414605
,56,47.23071934267352
,55,47.02791205293242
,55,46.82510476319133
,54,46.62229747345024
,53,46.419490183709144
,52,46.21668289396805
,52,46.01387560422696
,52,45.88206175745649
,51,45.88591149401449
,50,45.889761230572496
,50,45.89361096713049
,51,45.897460703688495
,54,45.9013104402465
,57,45.9051601768045
