nome_modelo,mse,rmse,tempo_consumo (ns),desvio_tempo,memoria_consumo (mb),memoria_max (mb),desvio_memoria
ViTime_30_seg_fixed,19.91,4.46,276135192.333,46192225.789,7.2577,7.2778,0.0037
ViTime_1_min_fixed,62.06,7.88,284497751.467,47411761.126,7.2577,7.2778,0.0037
ViTime_5_min_fixed,48.26,6.95,293404776.0,44867788.111,7.2577,7.2778,0.0037
ViTime_10_min_fixed,431.38,20.77,300047780.233,39805757.765,7.2577,7.2778,0.0037
