nome_modelo,Real,Previsto
ViTime_5_min_fixed,64,72.14374816823045
,63,70.80696767105538
,62,69.82594719157835
,61,69.03006774361866
,60,68.24595897657417
,59,67.62656236021826
,58,67.07376595888734
,57,66.73668512620631
,57,66.48958250811816
,56,66.27895266464093
,55,66.04876233973044
,55,65.70829388960559
,55,65.28652691983591
,54,64.73571665969668
,54,64.09718086458456
,53,63.333264532988835
,53,62.48494579876042
,53,61.60325817290899
,52,60.69265972559853
,52,59.78336817638823
,52,58.790865049458866
,52,58.0734768696328
,51,57.46742866972748
,51,57.080410572798435
,51,56.80091063864856
,51,56.583961255015964
,50,56.41437403049325
,50,56.27405014599604
,50,56.19050754474503
,50,56.26761023364726
,49,56.41697063066593
,49,56.49575423126934
,49,56.55402726991275
,49,56.31954653610768
,49,56.00616182950577
,48,55.62330517126406
,49,55.16965246725475
,50,54.49925673194444
,51,53.77665385673849
,54,53.03363929673142
,56,52.27879816871935
,58,51.678416059919314
,59,51.14454818600609
,59,50.845934867141466
,58,50.66609881014911
,57,50.71569645285137
,56,50.8606374707682
,55,51.00816649084389
,55,51.184464465150626
,54,51.49343839066451
,53,51.82570863461504
,52,52.04579629329078
,52,52.22441143232113
,52,52.26845475809773
,51,52.25489998931553
,50,52.182766952399426
,50,52.079199576969074
,51,51.972640092730465
,54,51.90429448090066
,57,52.132107454990795
