nome_modelo,mse,rmse,tempo_consumo (s),memoria_consumo (mb)
ViTime_full_30seg_run27,28.443331685660308,5.333229011177028,0.267698844,7.256969451904297
ViTime_full_30seg_run28,28.443331685660308,5.333229011177028,0.269135652,7.256969451904297
ViTime_full_30seg_run29,28.443331685660308,5.333229011177028,0.26806543,7.256969451904297
ViTime_full_30seg_run30,28.443331685660308,5.333229011177028,0.265210198,7.256969451904297
ViTime_fixed_30seg_run1,19.90542825406523,4.461549983365112,0.524581877,7.277803421020508
ViTime_fixed_30seg_run2,19.905426305583752,4.461549765001367,0.267337528,7.257091522216797
ViTime_fixed_30seg_run3,19.90542825406523,4.461549983365112,0.271499523,7.256969451904297
ViTime_fixed_30seg_run4,19.90542825406523,4.461549983365112,0.265332354,7.256969451904297
ViTime_fixed_30seg_run5,19.90542825406523,4.461549983365112,0.271255911,7.256969451904297
ViTime_fixed_30seg_run6,19.905426305583752,4.461549765001367,0.269825748,7.256969451904297
ViTime_fixed_30seg_run7,19.90542825406523,4.461549983365112,0.26763846,7.256969451904297
ViTime_fixed_30seg_run8,19.90542825406523,4.461549983365112,0.26507771,7.256969451904297
ViTime_fixed_30seg_run9,19.905426305583752,4.461549765001367,0.270807831,7.256969451904297
ViTime_fixed_30seg_run10,19.90542825406523,4.461549983365112,0.267838773,7.256969451904297
ViTime_fixed_30seg_run11,19.90542825406523,4.461549983365112,0.265178365,7.256969451904297
ViTime_fixed_30seg_run12,19.90542825406523,4.461549983365112,0.27144548,7.256969451904297
ViTime_fixed_30seg_run13,19.90542825406523,4.461549983365112,0.268443268,7.256969451904297
ViTime_fixed_30seg_run14,19.90542825406523,4.461549983365112,0.268233293,7.256969451904297
ViTime_fixed_30seg_run15,19.90542825406523,4.461549983365112,0.275252378,7.256969451904297
ViTime_fixed_30seg_run16,19.90542825406523,4.461549983365112,0.270342028,7.256969451904297
ViTime_fixed_30seg_run17,19.90542825406523,4.461549983365112,0.269088736,7.256969451904297
ViTime_fixed_30seg_run18,19.90542825406523,4.461549983365112,0.272495871,7.256969451904297
ViTime_fixed_30seg_run19,19.90542825406523,4.461549983365112,0.267208997,7.256969451904297
ViTime_fixed_30seg_run20,19.90542825406523,4.461549983365112,0.267734311,7.256969451904297
ViTime_fixed_30seg_run21,19.905426305583752,4.461549765001367,0.267996993,7.256969451904297
ViTime_fixed_30seg_run22,19.90542825406523,4.461549983365112,0.26842288,7.256969451904297
ViTime_fixed_30seg_run23,19.90542825406523,4.461549983365112,0.268281148,7.256969451904297
ViTime_fixed_30seg_run24,19.90542825406523,4.461549983365112,0.267076431,7.256969451904297
ViTime_fixed_30seg_run25,19.90542825406523,4.461549983365112,0.268207778,7.256969451904297
ViTime_fixed_30seg_run26,19.905426305583752,4.461549765001367,0.267057482,7.256969451904297
ViTime_fixed_30seg_run27,19.90542825406523,4.461549983365112,0.269229684,7.256969451904297
ViTime_fixed_30seg_run28,19.90542825406523,4.461549983365112,0.273252908,7.256969451904297
ViTime_fixed_30seg_run29,19.90542825406523,4.461549983365112,0.274325095,7.256969451904297
ViTime_fixed_30seg_run30,19.905426305583752,4.461549765001367,0.273551167,7.256969451904297
ViTime_moving_30seg_run1,19.90542825406523,4.461549983365112,0.520440652,7.277803421020508
ViTime_moving_30seg_run2,19.905426305583752,4.461549765001367,0.271253566,7.257091522216797
ViTime_moving_30seg_run3,19.90542825406523,4.461549983365112,0.268375638,7.256969451904297
ViTime_moving_30seg_run4,19.90542825406523,4.461549983365112,0.268508588,7.256969451904297
ViTime_moving_30seg_run5,19.90542825406523,4.461549983365112,0.268981398,7.256969451904297
ViTime_moving_30seg_run6,19.90542825406523,4.461549983365112,0.268901845,7.256969451904297
ViTime_moving_30seg_run7,19.90542825406523,4.461549983365112,0.265652952,7.256969451904297
ViTime_moving_30seg_run8,19.90542825406523,4.461549983365112,0.267298489,7.256969451904297
ViTime_moving_30seg_run9,19.90542825406523,4.461549983365112,0.268065174,7.256969451904297
ViTime_moving_30seg_run10,19.90542825406523,4.461549983365112,0.26718089,7.256969451904297
ViTime_moving_30seg_run11,19.90542825406523,4.461549983365112,0.266987668,7.256969451904297
ViTime_moving_30seg_run12,19.90542825406523,4.461549983365112,0.268435585,7.256969451904297
ViTime_moving_30seg_run13,19.90542825406523,4.461549983365112,0.269222242,7.256969451904297
ViTime_moving_30seg_run14,19.90542825406523,4.461549983365112,0.27280157,7.256969451904297
ViTime_moving_30seg_run15,19.90542825406523,4.461549983365112,0.275443289,7.256969451904297
ViTime_moving_30seg_run16,19.90542825406523,4.461549983365112,0.278464122,7.256969451904297
ViTime_moving_30seg_run17,19.90542825406523,4.461549983365112,0.27362822,7.256969451904297
ViTime_moving_30seg_run18,19.90542825406523,4.461549983365112,0.276241433,7.256969451904297
ViTime_moving_30seg_run19,19.90542825406523,4.461549983365112,0.276907832,7.256969451904297
ViTime_moving_30seg_run20,19.90542825406523,4.461549983365112,0.273584183,7.256969451904297
ViTime_moving_30seg_run21,19.90542825406523,4.461549983365112,0.270955739,7.256969451904297
ViTime_moving_30seg_run22,19.90542825406523,4.461549983365112,0.269874223,7.256969451904297
ViTime_moving_30seg_run23,19.90542825406523,4.461549983365112,0.270040088,7.256969451904297
ViTime_moving_30seg_run24,19.90542825406523,4.461549983365112,0.270288554,7.256969451904297
