nome_modelo,Real,Previsto
ViTime_10_min_moving,81,77.35499120534637
,81,77.04349792133839
,81,76.73200463733039
,81,76.54114913564858
,80,76.4138141647882
,80,76.24507845796941
,80,75.98425860300992
,80,75.72343874805041
,80,75.48818915883552
,80,75.25386068870365
,80,75.0550867251437
,80,74.87807594609976
,81,74.71299049446294
,80,74.57928431342778
,80,74.44557813239261
,79,74.33009478451994
,79,74.2159733823246
,78,74.12771621714468
,79,74.0577667541752
,78,73.98226589438974
,79,73.88924444118504
,78,73.79622298798034
,78,73.72468048294145
,78,73.65563940820137
,79,73.54798514064345
,78,73.4088357688427
,78,73.26349866107998
,78,73.09428859903156
,78,72.92507853698312
,78,72.66686867828194
,78,72.39428082335253
,78,72.11047860297012
,77,71.81615724733801
,77,71.51538790919686
,79,71.18337468832898
,79,70.85136146746112
,79,70.53960483920567
,79,70.23211096192085
,79,69.96975481883382
,78,69.75605871868257
,79,69.5462932776521
,79,69.36143538064216
,79,69.17657748363223
,78,69.00033058062654
,78,68.82635371118961
,78,68.63782951946249
,78,68.43126846084591
,78,68.20173723400173
,77,67.76893575133512
,77,67.33613426866852
,77,66.85544511792342
,77,66.35935092689574
,78,65.90215747868194
,78,65.50055529469202
,78,65.10127745827728
,77,64.73449206400726
,77,64.36770666973723
,74,63.95263082194524
,69,63.51894593618718
,66,63.1265420533174
,64,62.80238130437365
,63,62.485919524881766
,62,62.40243525575944
,61,62.31895098663713
,60,62.26242045398305
,59,62.21816642073253
,58,62.11010361663192
,57,61.87935159053094
,57,61.648599564429965
,56,61.33781316919797
,55,61.0268035260744
,55,60.71532939915907
,55,60.40360767960419
,54,60.095647375018466
,54,59.79616301909625
,53,59.49667866317403
,53,59.39743106053679
,53,59.3059961635913
,52,59.25306967379077
,52,59.22399411183902
,52,59.18927225621119
,52,59.13948401490688
,51,59.089695773602564
,51,59.01508704904797
,51,58.93854329431495
,51,58.79197129126936
,50,58.59525973095943
,50,58.379724480414
,50,58.10386535706711
,50,57.82800623372022
,49,57.50799840141827
,49,57.1826954747401
,49,56.82130191593027
,49,56.430138165641296
,49,56.03253617272817
,48,55.60966628239286
,49,55.18679639205755
,50,54.80521966953812
,51,54.43046937022324
,54,54.15938412834025
,56,53.98662617670429
,58,53.82136375900404
,59,53.693145385052205
,59,53.564927011100366
,58,53.465813478326105
,57,53.372943720601754
,56,53.28964992778585
,55,53.216795050204446
,55,53.16660509325543
,54,53.26350102749359
,53,53.36039696173175
,52,53.5408596339188
,52,53.743724676772906
,52,54.04989428465786
,51,54.48559939728368
,50,54.94025995417906
,50,55.5679223122953
,51,56.19558467041154
,54,56.9640585002668
,57,57.77851688823606
